ShortForm,LongForm
mlk,milk
pk,pack
buble,bubble
&,and
orig,original
mc,McCormick
PB,Peanut Butter
PB&J,Peanut Butter and Jelly
XL,Extra Large
JB,Just Born
Trid,Trident
BUBLE,bubble
val,value
fav,fave
seaoni,seasoning
grvy,gravy
cntry,country
seas,seasoning
swed,swedish
asst,assorted
GM,general mils
STK,steak
BF,Beef
ORG,organic
SLMN,salmon
FLT,filet
w/,with
WEG,wegmans
CHPD,chopped
RL,roll
CHOC,chocolate
WB,wegmans
LG,Large
X,Extra
BNTY,bounty
SAS,select-a-size
HNY,honey
CHAM,chamomile
NAT,natural
POLND,poland
WHOL,whole
WHT,Wheat
CRKR,cracker
DIAM,diamond
QN,quilted northern
strng,strong
BROCC,Broccoli
CRNCHY,crunchy
ENGL,english
BRKFST,breakfast
BNLS,boneless
BRS,breast
CUTLT,cutlet
bbq,barbecue
w/o,without
btl,bottle
btld,bottled
brsd,braised
brd,breaded
brld,broiled
caff,caffeine
Calif,California
Cal,calorie
cholest,cholesterol
ckd,cooked
cnd,canned
cnut,coconut
coll,collect
cond,condensed
cran,cranberry
ctn,carton
cottnsd,cottonseed
ea,each
f/,from
fill,filling
flrd,floured
flvr,flavor
flvrd,fravored
fort,fortified
fzn,frozen
indv,individual
intl,international
inst,instant
med,medium
NZ,New Zealand
past,pasteurized
pce,piece
prep,prepared
pine,pineapple
pkg,packaged
pkt,packet
preckd,precooked
proc,processed
prot,protein
pwd,powder
reg,regular
skm,skim
smkd,smoked
sml,small
sod,sodium
splmnt,supplement
straw,strawberry
stuff,stuffed
strnd,strained
stwd,stewed
sug,sugar
swtnd,sweetened
swt,sweet
swtnr,sweetener
tbsp,tablespoon
tsp,teaspoon
tstd,toasted
van,vanilla
veg,vegetable
vit,vitamin
mult,multi
whl,whole
w,with
enrich,enriched
decaf,decaffeinated
calc,calcium
bkd,baked
asstd,assorted
add,added
avg,average
conc,concentrate
fsh,fish
bx,box
kro,kroger
krog,kroger
frzn,frozen
dcd,diced
disinf,disinfectant
crm,cream
pnut,peanut
btr,butter
wtr,water
wtrmln,watermelon
fshw,fish
mntr,monterey
apl,apple
sws,swiss
slc,slice
caor,california
olv,olive
kell,kellog's
flakexp,flakes
glac,glaceau
vitmn,vitamin
hrbo,haribo
brhd,boar's head
